"","ACC_cutoff","RT_min","RT_max","RT_sd_cutoff","split_by","averaging_method","estimate","low","high","nPar","nTrial","nTrialperPar","pPar","pTrial","task","measure"
"122",0.8,100,3000,2,"trial","mean",0.73115,0.6312,0.80947,107,22561,210.85046728972,1,0.878543613707165,"Stroop_1","internal_consistency"
"123",0.9,100,3000,2,"trial","mean",0.73284,0.63357,0.81595,107,22561,210.85046728972,1,0.878543613707165,"Stroop_1","internal_consistency"
"124",0,200,3000,2,"trial","mean",0.71546,0.60207,0.80157,107,22545,210.700934579439,1,0.877920560747664,"Stroop_1","internal_consistency"
"125",0.8,200,3000,2,"trial","mean",0.71391,0.60061,0.80103,107,22545,210.700934579439,1,0.877920560747664,"Stroop_1","internal_consistency"
"126",0.9,200,3000,2,"trial","mean",0.71494,0.59378,0.80786,107,22545,210.700934579439,1,0.877920560747664,"Stroop_1","internal_consistency"
"127",0,0,2000,3,"trial","mean",0.68965,0.58361,0.77915,107,23183,216.663551401869,1,0.902764797507788,"Stroop_1","internal_consistency"
"128",0.8,0,2000,3,"trial","mean",0.68639,0.58345,0.76545,107,23183,216.663551401869,1,0.902764797507788,"Stroop_1","internal_consistency"
"129",0.9,0,2000,3,"trial","mean",0.68689,0.58854,0.77167,107,23183,216.663551401869,1,0.902764797507788,"Stroop_1","internal_consistency"
"130",0,100,2000,3,"trial","mean",0.68536,0.57401,0.77072,107,23160,216.448598130841,1,0.901869158878505,"Stroop_1","internal_consistency"
"131",0.8,100,2000,3,"trial","mean",0.68633,0.56522,0.77156,107,23160,216.448598130841,1,0.901869158878505,"Stroop_1","internal_consistency"
"132",0.9,100,2000,3,"trial","mean",0.68629,0.56606,0.76928,107,23160,216.448598130841,1,0.901869158878505,"Stroop_1","internal_consistency"
"133",0,200,2000,3,"trial","mean",0.67345,0.56157,0.76361,107,23141,216.271028037383,1,0.901129283489097,"Stroop_1","internal_consistency"
"134",0.8,200,2000,3,"trial","mean",0.67545,0.56384,0.76625,107,23141,216.271028037383,1,0.901129283489097,"Stroop_1","internal_consistency"
"135",0.9,200,2000,3,"trial","mean",0.67895,0.56875,0.76919,107,23141,216.271028037383,1,0.901129283489097,"Stroop_1","internal_consistency"
"136",0,0,3000,3,"trial","mean",0.67984,0.56185,0.76963,107,23249,217.280373831776,1,0.905334890965732,"Stroop_1","internal_consistency"
"137",0.8,0,3000,3,"trial","mean",0.67757,0.56023,0.77444,107,23249,217.280373831776,1,0.905334890965732,"Stroop_1","internal_consistency"
"138",0.9,0,3000,3,"trial","mean",0.67664,0.56775,0.76836,107,23249,217.280373831776,1,0.905334890965732,"Stroop_1","internal_consistency"
"139",0,100,3000,3,"trial","mean",0.68016,0.55823,0.7686,107,23226,217.065420560748,1,0.904439252336449,"Stroop_1","internal_consistency"
"140",0.8,100,3000,3,"trial","mean",0.68405,0.57114,0.77612,107,23226,217.065420560748,1,0.904439252336449,"Stroop_1","internal_consistency"
