"","ACC_cutoff","RT_min","RT_max","RT_sd_cutoff","split_by","averaging_method","estimate","low","high","nPar","nTrial","nTrialperPar","pPar","pTrial","task","measure"
"101",0.8,0,3000,1,"trial","mean",0.91339,0.87934,0.93714,107,35917,335.672897196262,1,0.699318535825545,"Stroop_1","internal_consistency"
"102",0.9,0,3000,1,"trial","mean",0.91319,0.88504,0.93757,107,35917,335.672897196262,1,0.699318535825545,"Stroop_1","internal_consistency"
"103",0,100,3000,1,"trial","mean",0.92355,0.89647,0.94281,107,35857,335.11214953271,1,0.69815031152648,"Stroop_1","internal_consistency"
"104",0.8,100,3000,1,"trial","mean",0.92421,0.89681,0.94618,107,35857,335.11214953271,1,0.69815031152648,"Stroop_1","internal_consistency"
"105",0.9,100,3000,1,"trial","mean",0.92425,0.8956,0.94602,107,35857,335.11214953271,1,0.69815031152648,"Stroop_1","internal_consistency"
"106",0,200,3000,1,"trial","mean",0.91933,0.88931,0.94282,107,35831,334.869158878505,1,0.697644080996885,"Stroop_1","internal_consistency"
"107",0.8,200,3000,1,"trial","mean",0.91978,0.88643,0.94333,107,35831,334.869158878505,1,0.697644080996885,"Stroop_1","internal_consistency"
"108",0.9,200,3000,1,"trial","mean",0.92125,0.89194,0.94397,107,35831,334.869158878505,1,0.697644080996885,"Stroop_1","internal_consistency"
"109",0,0,2000,2,"trial","mean",0.82191,0.76504,0.86955,107,44867,419.317757009346,1,0.873578660436137,"Stroop_1","internal_consistency"
"110",0.8,0,2000,2,"trial","mean",0.82251,0.76648,0.86962,107,44867,419.317757009346,1,0.873578660436137,"Stroop_1","internal_consistency"
"111",0.9,0,2000,2,"trial","mean",0.8219,0.76447,0.86874,107,44867,419.317757009346,1,0.873578660436137,"Stroop_1","internal_consistency"
"112",0,100,2000,2,"trial","mean",0.83199,0.77029,0.87909,107,44824,418.915887850467,1,0.872741433021807,"Stroop_1","internal_consistency"
"113",0.8,100,2000,2,"trial","mean",0.83424,0.77184,0.88416,107,44824,418.915887850467,1,0.872741433021807,"Stroop_1","internal_consistency"
"114",0.9,100,2000,2,"trial","mean",0.83422,0.78194,0.88158,107,44824,418.915887850467,1,0.872741433021807,"Stroop_1","internal_consistency"
"115",0,200,2000,2,"trial","mean",0.81452,0.74073,0.87092,107,44792,418.616822429907,1,0.872118380062305,"Stroop_1","internal_consistency"
"116",0.8,200,2000,2,"trial","mean",0.81255,0.73144,0.86723,107,44792,418.616822429907,1,0.872118380062305,"Stroop_1","internal_consistency"
